index,year,region_id,region,crops_affected_by_disasters
291,2016,2,Ancash,0
292,2016,3,Apurimac,6437
293,2016,4,Arequipa,1274
294,2016,5,Ayacucho,10823
295,2016,6,Cajamarca,20492
296,2016,7,Callao,0
297,2016,8,Cusco,13767
298,2016,9,Huancavelica,3461
299,2016,10,Huanuco,3919
300,2016,11,Ica,60
301,2016,12,Junin,260
302,2016,13,La Libertad,5
303,2016,14,Lambayeque,149
304,2016,15,Lima,40
305,2016,16,Loreto,1996
306,2016,17,Madre de Dios,1141
307,2016,18,Moquegua,138
308,2016,19,Pasco,1119
309,2016,20,Piura,152
310,2016,21,Puno,20517
311,2016,22,San Martin,556
312,2016,23,Tacna,1144
313,2016,24,Tumbes,160
314,2016,25,Ucayali,3338
315,2017,0,Nacional,55411
316,2017,1,Amazonas,0
317,2017,2,Ancash,2136
318,2017,3,Apurimac,1418
319,2017,4,Arequipa,1381
320,2017,5,Ayacucho,2959
321,2017,6,Cajamarca,1401
322,2017,7,Callao,0
323,2017,8,Cusco,555
324,2017,9,Huancavelica,647
325,2017,10,Huanuco,108
326,2017,11,Ica,3692
327,2017,12,Junin,35
328,2017,13,La Libertad,11560
329,2017,14,Lambayeque,3128
330,2017,15,Lima,6690
331,2017,16,Loreto,2165
332,2017,17,Madre de Dios,49
333,2017,18,Moquegua,64
334,2017,19,Pasco,41
335,2017,20,Piura,11024
336,2017,21,Puno,207
337,2017,22,San Martin,472
338,2017,23,Tacna,16
339,2017,24,Tumbes,3668
340,2017,25,Ucayali,1995
341,2018,0,Nacional,25862
342,2018,1,Amazonas,0
343,2018,2,Ancash,30
344,2018,3,Apurimac,993
345,2018,4,Arequipa,677
346,2018,5,Ayacucho,12509
347,2018,6,Cajamarca,2
348,2018,7,Callao,0
349,2018,8,Cusco,4273
350,2018,9,Huancavelica,3053
351,2018,10,Huanuco,347
352,2018,11,Ica,0
353,2018,12,Junin,1758
354,2018,13,La Libertad,66
355,2018,14,Lambayeque,1493
356,2018,15,Lima,11
357,2018,16,Loreto,0
358,2018,17,Madre de Dios,0
359,2018,18,Moquegua,26
360,2018,19,Pasco,241
361,2018,20,Piura,12
362,2018,21,Puno,12
363,2018,22,San Martin,78
364,2018,23,Tacna,0
365,2018,24,Tumbes,0
366,2018,25,Ucayali,281
367,2019,0,Nacional,33016.11
368,2019,1,Amazonas,530
369,2019,2,Ancash,1698
370,2019,3,Apurimac,946
371,2019,4,Arequipa,2707
372,2019,5,Ayacucho,620
373,2019,6,Cajamarca,222
374,2019,7,Callao,0
375,2019,8,Cusco,1439
376,2019,9,Huancavelica,2765
377,2019,10,Huanuco,2005
378,2019,11,Ica,0
379,2019,12,Junin,992
380,2019,13,La Libertad,35
381,2019,14,Lambayeque,61
382,2019,15,Lima,0
383,2019,16,Loreto,6803
384,2019,17,Madre de Dios,0
385,2019,18,Moquegua,489
386,2019,19,Pasco,7106
387,2019,20,Piura,96
388,2019,21,Puno,5
389,2019,22,San Martin,0
390,2019,23,Tacna,757
391,2019,24,Tumbes,5
392,2019,25,Ucayali,3735
393,2020,0,Nacional,63274.25
394,2020,1,Amazonas,55
395,2020,2,Ancash,688
396,2020,3,Apurimac,5111
397,2020,4,Arequipa,430
398,2020,5,Ayacucho,8965
399,2020,6,Cajamarca,1532
400,2020,7,Callao,0
401,2020,8,Cusco,4568
402,2020,9,Huancavelica,18737
403,2020,10,Huanuco,5472
404,2020,11,Ica,672
405,2020,12,Junin,1654
406,2020,13,La Libertad,371
407,2020,14,Lambayeque,1957
408,2020,15,Lima,626
409,2020,16,Loreto,15
410,2020,17,Madre de Dios,6
411,2020,18,Moquegua,852
412,2020,19,Pasco,762
413,2020,20,Piura,3287
414,2020,21,Puno,4783
415,2020,22,San Martin,2
416,2020,23,Tacna,2437
417,2020,24,Tumbes,0
418,2020,25,Ucayali,294
419,2021,0,Nacional,99664.055
420,2021,1,Amazonas,1102
421,2021,2,Ancash,60
422,2021,3,Apurimac,2220
423,2021,4,Arequipa,118
424,2021,5,Ayacucho,19626
425,2021,6,Cajamarca,4157
426,2021,7,Callao,0
427,2021,8,Cusco,7813
